Rank	Coin Name	Symbol	 Price 	1h	24h	7d	30d	 24h Volume 	Circulating Supply	Total Supply	 Market Cap 
141	Flare	FLR	0.01	0.011	0.006	-0.012	0.202	$9,635,288.00	28717986141	101 Billion	$313,376,637.00
220	IOST	IOST	0.01	0.002	-0.031	-0.067	0.12	$6,696,929.00	18708894189	18.7 Billion	$160,614,486.00
227	Harmony	ONE	0.01	0.005	-0.057	-0.111	0.275	$15,857,039.00	12305426115	13.2 Billion	$154,829,936.00
240	inSure DeFi	SURE	0.01	0.014	-0.024	0.115	0.692	$438,091.00	26482693217	88 Billion	$138,424,432.00
261	DigiByte	DGB	0.01	-0.006	-0.057	-0.122	0.096	$4,782,158.00	16649619571	21 Billion	$121,840,677.00
265	TerraClassicUSD	USTC	0.01	-0.001	-0.006	-0.066	0.145	$8,317,300.00	8980996763	9.79 Billion	$116,148,657.00
303	SmarDex	SDEX	0.01	-0.001	0.048	0.111	0.451	$2,425,725.00	7070807036	10 Billion	$99,024,076.00
310	IQ	IQ	0.01	-0.004	-0.034	-0.051	0.132	$2,603,395.00	17201926356	17.2 Billion	$96,485,382.00
319	Medibloc	MED	0.01	0.005	-0.016	-0.068	0.204	$2,954,972.00	8030122504	9.34 Billion	$95,203,413.00
329	MovieBloc	MBL	0.01	-0.001	-0.04	-0.171	0.566	$7,607,332.00	17168553885	30 Billion	$89,746,717.00
342	StormX	STMX	0.01	0.009	-0.033	-0.125	0.17	$9,521,915.00	11000000000	12.5 Billion	$83,612,889.00
348	Marlin	POND	0.01	0.003	-0.021	-0.059	0.183	$2,199,995.00	8087375977	5.03 Billion	$80,977,602.00
357	Celer Network	CELR	0.01	0.007	-0.049	-0.09	0.094	$7,695,744.00	5645454936	10 Billion	$77,268,678.00
365	Verasity	VRA	0.01	0.017	0.013	0.004	0.474	$22,651,246.00	10249906818	100 Billion	$75,221,798.00
366	Sweat Economy	SWEAT	0.01	0.003	-0.008	-0.069	0.014	$1,608,983.00	7687172145	22.1 Billion	$74,825,233.00
368	QuarkChain	QKC	0.01	-0.008	-0.044	-0.147	0.104	$1,614,258.00	6921608235	10 Billion	$74,127,522.00
370	Mainframe	MFT	0.01	0.099	0.091	-0.057	0.422	$12,872.00	9386552599	10 Billion	$73,083,046.00
401	Open Exchange Token	OX	0.01	-0.033	0.022	-0.263	-0.142	$636,515.00	5475687806	5.48 Billion	$66,140,615.00
428	ConstitutionDAO	PEOPLE	0.01	0.011	-0.036	-0.109	0.008	$13,410,028.00	5067216754	5.07 Billion	$58,824,132.00
430	Linear	LINA	0.01	0.009	-0.011	-0.172	0.148	$9,060,365.00	5779009375	10 Billion	$58,651,264.00
442	Carry	CRE	0.01	-0.003	-0.027	-0.055	0.102	$2,991,836.00	10000000000	10 Billion	$56,436,293.00
447	Sun Token	SUN	0.01	0.001	-0.018	-0.048	-0.012	$8,530,670.00	9692931222	19.9 Billion	$55,805,515.00
454	Humans.ai	HEART	0.01	-0.02	-0.031	-0.203	0.12	$201,810.00	4793100000	7.8 Billion	$54,503,336.00
472	Coinweb	CWEB	0.01	-0.002	-0.036	-0.049	0.025	$231,747.00	3916335074	7.63 Billion	$50,448,935.00
496	Alien Worlds	TLM	0.01	-0.001	-0.052	-0.101	0.186	$6,557,990.00	3758747731	6.19 Billion	$45,749,721.00
515	PLAYA3ULL GAMES	3ULL	0.01	-0.008	0.191	1.266	11.386	$2,794,081.00	6727850516	7.32 Billion	$42,866,355.00
524	UXD Protocol	UXP	0.01	0.016	-0.027	0.014	0.099	$10,201.00	3995967598	7 Billion	$41,520,180.00
533	Concordium	CCD	0.01	-0.008	-0.02	-0.031	-0.004	$204,218.00	7796200036	12.6 Billion	$40,238,660.00
536	Victoria VR	VR	0.01	0.005	-0.07	0.015	0.255	$689,470.00	5108261393	16.8 Billion	$40,015,370.00
555	LIF3 (OLD)	LIF3	0.01	0.006	0.017	-0.075	0.183	$536,950.00	2575866293	8.89 Billion	$37,526,999.00
564	PlatON Network	LAT	0.01	0	-0.026	-0.001	0.11	$1,102,832.00	4634171266	10.3 Billion	$36,526,724.00
584	AhaToken	AHT	0.01	-0.002	-0.039	-0.083	0.086	$3,514,398.00	4424036536	7.77 Billion	$34,212,076.00
598	Zebec Protocol	ZBC	0.01	-0.007	0.046	0.095	0.302	$12,333,295.00	3640485956	10 Billion	$32,679,059.00
604	BENQI	QI	0.01	-0.004	-0.035	0.006	0.459	$2,790,400.00	4202709176	7.2 Billion	$31,738,247.00
611	Niza Global	NIZA	0.01	0.015	0.233	0.34	1.539	$3,977,295.00	2391904659	8.75 Billion	$30,765,759.00
614	SelfKey	KEY	0.01	0.005	-0.035	-0.099	-0.154	$3,909,788.00	5999999954	6 Billion	$30,634,673.00
617	Phoenix Global [OLD]	PHB	0.01	0	-0.118	-0.063	0.004	$10.13	3386665894	3.39 Billion	$30,494,381.00
624	Bit2Me	B2M	0.01	0.004	0.009	-0.061	-0.034	$53,861.00	4843060000	5 Billion	$29,548,248.00
629	Rally	RLY	0.01	0.002	-0.001	-0.038	0.005	$660,964.00	5011892646	15 Billion	$29,405,089.00
638	INSTAR	INSTAR	0.01	0.233	-0.363	-0.461	-0.594	$4,186.00	0	300 Million	$51,416,115.00
643	BitShares	BTS	0.01	-0.003	-0.038	-0.094	0.046	$1,420,676.00	2710195992	3 Billion	$27,854,079.00
647	Contentos	COS	0.01	-0.001	-0.061	-0.066	0.159	$2,821,107.00	5114004014	9.9 Billion	$26,999,040.00
651	TokenPocket Token	TPT	0.01	-0.002	-0.022	0.01	0.06	$75,393.00	3466457401	5.9 Billion	$26,633,167.00
656	Metacade	MCADE	0.01	-0.04	0.005	0.991	1.502	$628,746.00	1843294819	2 Billion	$26,123,035.00
661	Samoyedcoin	SAMO	0.01	-0.007	-0.031	-0.263	0.78	$1,167,200.00	4071606174	4.75 Billion	$25,599,049.00
663	MELD	MELD	0.01	0	0.002	0.03	0.141	$1,455,997.00	2157375490	4 Billion	$25,445,276.00
671	Enjinstarter	EJS	0.01	-0.004	-0.091	-0.145	0.904	$344,375.00	3827762989	4.94 Billion	$24,936,681.00
683	AQTIS	AQTIS	0.01	-0.026	0.1	-0.121	3.129	$162,427.00	1994990000	3 Billion	$23,966,575.00
699	AirDAO	AMB	0.01	0.007	-0.065	-0.153	-0.116	$3,210,491.00	3072310854	6.5 Billion	$23,099,267.00
701	Vyvo Smart Chain	VSC	0.01	0.002	0.003	-0.01	0.035	$608,645.00	1876030845	20 Billion	$23,046,355.00
703	RFOX	RFOX	0.01	-0.003	0.01	-0.096	0.219	$238,537.00	1844906338	1.99 Billion	$22,862,438.00
720	Bytom	BTM	0.01	0.025	-0.092	-0.23	-0.607	$768,509.00	1800654319	2.1 Billion	$21,496,927.00
766	HydraDX	HDX	0.01	0.018	0.021	0.052	0.671	$24,090.00	2561833254	4.4 Billion	$18,845,133.00
794	MELD [OLD]	MELD	0.01	-0.003	0.02	0.042	0.14	$8,054.00	1481934719	4 Billion	$17,428,685.00
803	Crypto Gladiator League	CGL	0.01	0.003	0.031	-0.124	0.454	$828,410.00	2108193785	3.1 Billion	$17,012,587.00
806	XANA	XETA	0.01	-0.003	-0.031	0.12	0.541	$854,371.00	1660166667	4.93 Billion	$16,960,565.00
808	MAP Protocol	MAP	0.01	-0.001	-0.006	-0.053	0.024	$585,779.00	2228621190	10 Billion	$16,921,090.00
813	NvirWorld	NVIR	0.01	-0.009	-0.015	0.04	-0.274	$1,897,505.00	1121804492	10.7 Billion	$16,692,490.00
818	Stargaze	STARS	0.01	-0.044	-0.09	-0.168	0.828	$103,760.00	1436147925	2.43 Billion	$16,520,325.00
833	Circuits of Value	COVAL	0.01	-0.006	-0.006	0.104	0.302	$517,237.00	1784838484	1.78 Billion	$15,861,804.00
840	Saito	SAITO	0.01	-0.001	0.018	-0.091	0.088	$71,210.00	2132604084	3 Billion	$15,483,663.00
865	Dagger	XDAG	0.01	0.038	-0.026	0.175	1.331	$40,913.00	1227401792	1.45 Billion	$14,735,908.00
869	Step App	FITFI	0.01	0.013	-0.088	0.334	0.466	$23,198,765.00	2261772429	4.6 Billion	$14,645,095.00
887	MXC	MXC	0.01	-0.01	-0.048	-0.072	-0.034	$1,393,989.00	2437203515	2.66 Billion	$14,042,911.00
